Ship Type,2018,2019,2020,2021,2022
Accomodation Barge,0,0,1,0,0
Bulk Carrier,59,46,51,47,50
Container,18,14,27,30,11
Crew Boat,0,0,0,0,3
Drilling Ship/Rig,1,0,1,1,1
General Cargo,6,7,13,4,3
Heavy Lift Vessel,1,0,0,0,0
Heavy Load Carrier,0,1,1,0,1
Landing Craft,1,1,0,1,0
Maintenance Pontoon,0,1,0,0,0
Ore Carrier,1,0,0,0,0
Passenger Craft,0,1,0,1,0
Pipe Layer Ship / Barge,0,0,2,0,0
Pleasure Craft,0,1,0,0,0
Refrigerated Cargo Ship,6,0,4,1,1
Research Ship,0,1,1,0,0
RO-RO,2,0,0,0,1
Supply Ship,5,2,8,6,1
Support Ship,2,1,3,2,0
Tanker Asphalt,1,0,1,0,0
Tanker Bunkering,0,0,1,0,0
Tanker Chemichal,50,45,53,22,19
Tanker Crude Oil,16,19,10,5,9
Tanker FPSO / FSO,0,0,1,0,0
Tanker LNG,2,2,1,2,0
Tanker LPG,6,6,3,2,2
Trawler / Fishing,12,4,6,3,0
Offshore Tug / Tug & Barge,11,7,7,3,8
Vehicle Carrier,1,2,0,2,4
Yacht / Sailing Vessel,0,1,0,0,1
