Type,Number Of Attacks
Accomodation Barge,0
Bulk Carrier,50
Container,11
Crew Boat,3
Drilling Ship/Rig,1
General Cargo,3
Heavy Lift Vessel,0
Heavy Load Carrier,1
Landing Craft,0
Maintenance Pontoon,0
Ore Carrier,0
Passenger Craft,0
Pipe Layer Ship / Barge,0
Pleasure Craft,0
Refrigerated Cargo Ship,1
Research Ship,0
RO-RO,1
Supply Ship,1
Support Ship,0
Tanker Asphalt,0
Tanker Bunkering,0
Tanker Chemichal,19
Tanker Crude Oil,9
Tanker FPSO / FSO,0
Tanker LNG,0
Tanker LPG,2
Trawler / Fishing,0
Offshore Tug / Tug & Barge,8
Vehicle Carrier,4
Yacht / Sailing Vessel,1
