Region,Location,Berthed,Anchored,Steaming
SE Asia,Indonesia,1,7,2
,Malaysia,1,1,1
,Philippines,2,2,1
,Singapore Straights,NG,NG,38
,,,,
EAST Asia,Vietnam,NG,1,1
,,,,
Indian Sub Continent,Bangladesh,1,6,NG
,India,1,2,NG
,,,,
Americas,Brazil,NG,4,NG
,Guyana,1,1,NG
,Haiti,NG,NG,1
,Mexico,NG,1,NG
,Peru,1,11,NG
,Venezuela,1,2,NG
,,,,
Africa,Angola,NG,5,NG
,Dem. Republic of Congo,1,NG,NG
,Equatorial Guinea,NG,NG,1
,Ghana,NG,5,1
,Ivory Coast,NG,NG,2
,Liberia,1,NG,NG
,Siera Leone,NG,NG,1
,South Africa,1,NG,NG
